الجنسية,السنة,المنطقة,النوع,السكان
سعودي,2010,الباحة,أنثى,94797
سعودي,2011,الباحة,أنثى,96899
سعودي,2012,الباحة,أنثى,99234
سعودي,2013,الباحة,أنثى,101946
سعودي,2014,الباحة,أنثى,104998
سعودي,2015,الباحة,أنثى,108025
سعودي,2016,الباحة,أنثى,110757
سعودي,2017,الباحة,أنثى,113257
سعودي,2018,الباحة,أنثى,116010
سعودي,2019,الباحة,أنثى,119001
سعودي,2020,الباحة,أنثى,122365
سعودي,2021,الباحة,أنثى,125345
سعودي,2022,الباحة,أنثى,128405
سعودي,2010,الجوف,أنثى,169397
سعودي,2011,الجوف,أنثى,172724
سعودي,2012,الجوف,أنثى,176392
سعودي,2013,الجوف,أنثى,180666
سعودي,2014,الجوف,أنثى,185605
سعودي,2015,الجوف,أنثى,190315
سعودي,2016,الجوف,أنثى,194629
سعودي,2017,الجوف,أنثى,198447
سعودي,2018,الجوف,أنثى,202611
سعودي,2019,الجوف,أنثى,206987
سعودي,2020,الجوف,أنثى,211750
سعودي,2021,الجوف,أنثى,215787
سعودي,2022,الجوف,أنثى,219905
سعودي,2010,الحدود الشمالية,أنثى,103078
سعودي,2011,الحدود الشمالية,أنثى,105154
سعودي,2012,الحدود الشمالية,أنثى,107497
سعودي,2013,الحدود الشمالية,أنثى,110175
سعودي,2014,الحدود الشمالية,أنثى,113247
سعودي,2015,الحدود الشمالية,أنثى,116221
سعودي,2016,الحدود الشمالية,أنثى,118914
سعودي,2017,الحدود الشمالية,أنثى,121315
سعودي,2018,الحدود الشمالية,أنثى,123943
سعودي,2019,الحدود الشمالية,أنثى,126707
سعودي,2020,الحدود الشمالية,أنثى,129777
سعودي,2021,الحدود الشمالية,أنثى,132401
سعودي,2022,الحدود الشمالية,أنثى,135091
سعودي,2010,الرياض,أنثى,1635160
سعودي,2011,الرياض,أنثى,1671318
سعودي,2012,الرياض,أنثى,1711976
سعودي,2013,الرياض,أنثى,1758368
سعودي,2014,الرياض,أنثى,1811466
سعودي,2015,الرياض,أنثى,1862723
سعودي,2016,الرياض,أنثى,1909357
سعودي,2017,الرياض,أنثى,1951078
سعودي,2018,الرياض,أنثى,1996692
سعودي,2019,الرياض,أنثى,2046070
سعودي,2020,الرياض,أنثى,2100681
سعودي,2021,الرياض,أنثى,2148761
سعودي,2022,الرياض,أنثى,2197165
سعودي,2010,القصيم,أنثى,347561
سعودي,2011,القصيم,أنثى,355120
سعودي,2012,القصيم,أنثى,363544
سعودي,2013,القصيم,أنثى,373193
سعودي,2014,القصيم,أنثى,384306
سعودي,2015,القصيم,أنثى,394991
سعودي,2016,القصيم,أنثى,404745
سعودي,2017,القصيم,أنثى,413455
سعودي,2018,القصيم,أنثى,422996
سعودي,2019,القصيم,أنثى,433415
سعودي,2020,القصيم,أنثى,444914
سعودي,2021,القصيم,أنثى,455121
سعودي,2022,القصيم,أنثى,465458
سعودي,2010,المدينة المنورة,أنثى,509074
سعودي,2011,المدينة المنورة,أنثى,519999
سعودي,2012,المدينة المنورة,أنثى,532216
سعودي,2013,المدينة المنورة,أنثى,546260
سعودي,2014,المدينة المنورة,أنثى,562344
سعودي,2015,المدينة المنورة,أنثى,577855
سعودي,2016,المدينة المنورة,أنثى,592006
سعودي,2017,المدينة المنورة,أنثى,604703
سعودي,2018,المدينة المنورة,أنثى,618598
سعودي,2019,المدينة المنورة,أنثى,633571
سعودي,2020,المدينة المنورة,أنثى,650123
سعودي,2021,المدينة المنورة,أنثى,664660
سعودي,2022,المدينة المنورة,أنثى,679397
سعودي,2010,المنطقة الشرقية,أنثى,1077728
سعودي,2011,المنطقة الشرقية,أنثى,1101214
سعودي,2012,المنطقة الشرقية,أنثى,1127648
سعودي,2013,المنطقة الشرقية,أنثى,1157930
سعودي,2014,المنطقة الشرقية,أنثى,1192754
سعودي,2015,المنطقة الشرقية,أنثى,1226344
سعودي,2016,المنطقة الشرقية,أنثى,1256995
سعودي,2017,المنطقة الشرقية,أنثى,1284399
سعودي,2018,المنطقة الشرقية,أنثى,1314470
سعودي,2019,المنطقة الشرقية,أنثى,1346677
سعودي,2020,المنطقة الشرقية,أنثى,1382219
سعودي,2021,المنطقة الشرقية,أنثى,1413447
سعودي,2022,المنطقة الشرقية,أنثى,1444796
سعودي,2010,تبوك,أنثى,239792
سعودي,2011,تبوك,أنثى,244726
سعودي,2012,تبوك,أنثى,250276
سعودي,2013,تبوك,أنثى,256629
سعودي,2014,تبوك,أنثى,263944
سعودي,2015,تبوك,أنثى,270975
سعودي,2016,تبوك,أنثى,277342
سعودي,2017,تبوك,أنثى,283010
سعودي,2018,تبوك,أنثى,289200
سعودي,2019,تبوك,أنثى,295842
سعودي,2020,تبوك,أنثى,303140
سعودي,2021,تبوك,أنثى,309466
سعودي,2022,تبوك,أنثى,315897
سعودي,2010,جازان,أنثى,375471
سعودي,2011,جازان,أنثى,383658
سعودي,2012,جازان,أنثى,392808
سعودي,2013,جازان,أنثى,403310
سعودي,2014,جازان,أنثى,415289
سعودي,2015,جازان,أنثى,426901
سعودي,2016,جازان,أنثى,437497
سعودي,2017,جازان,أنثى,447014
سعودي,2018,جازان,أنثى,457451
سعودي,2019,جازان,أنثى,468778
سعودي,2020,جازان,أنثى,481453
سعودي,2021,جازان,أنثى,492571
سعودي,2022,جازان,أنثى,503886
سعودي,2010,حائل,أنثى,197414
سعودي,2011,حائل,أنثى,201625
سعودي,2012,حائل,أنثى,206313
سعودي,2013,حائل,أنثى,211727
سعودي,2014,حائل,أنثى,217924
سعودي,2015,حائل,أنثى,223897
سعودي,2016,حائل,أنثى,229345
سعودي,2017,حائل,أنثى,234193
سعودي,2018,حائل,أنثى,239508
سعودي,2019,حائل,أنثى,245264
سعودي,2020,حائل,أنثى,251585
سعودي,2021,حائل,أنثى,257139
سعودي,2022,حائل,أنثى,262778
سعودي,2010,عسير,أنثى,544163
سعودي,2011,عسير,أنثى,555911
سعودي,2012,عسير,أنثى,569003
سعودي,2013,عسير,أنثى,584082
سعودي,2014,عسير,أنثى,601145
سعودي,2015,عسير,أنثى,617900
سعودي,2016,عسير,أنثى,633035
سعودي,2017,عسير,أنثى,646707
سعودي,2018,عسير,أنثى,661721
سعودي,2019,عسير,أنثى,677910
سعودي,2020,عسير,أنثى,696103
سعودي,2021,عسير,أنثى,712009
سعودي,2022,عسير,أنثى,728200
سعودي,2010,مكة المكرمة,أنثى,1535534
سعودي,2011,مكة المكرمة,أنثى,1570069
سعودي,2012,مكة المكرمة,أنثى,1608752
سعودي,2013,مكة المكرمة,أنثى,1653242
سعودي,2014,مكة المكرمة,أنثى,1703946
سعودي,2015,مكة المكرمة,أنثى,1753158
سعودي,2016,مكة المكرمة,أنثى,1798091
سعودي,2017,مكة المكرمة,أنثى,1838533
سعودي,2018,مكة المكرمة,أنثى,1882931
سعودي,2019,مكة المكرمة,أنثى,1931101
سعودي,2020,مكة المكرمة,أنثى,1984600
سعودي,2021,مكة المكرمة,أنثى,2032042
سعودي,2022,مكة المكرمة,أنثى,2079845
سعودي,2010,نجران,أنثى,150396
سعودي,2011,نجران,أنثى,153469
سعودي,2012,نجران,أنثى,156915
سعودي,2013,نجران,أنثى,160858
سعودي,2014,نجران,أنثى,165373
سعودي,2015,نجران,أنثى,169708
سعودي,2016,نجران,أنثى,173674
سعودي,2017,نجران,أنثى,177215
سعودي,2018,نجران,أنثى,181060
سعودي,2019,نجران,أنثى,185115
سعودي,2020,نجران,أنثى,189598
سعودي,2021,نجران,أنثى,193396
سعودي,2022,نجران,أنثى,197308
غير سعودي,2010,الباحة,أنثى,16209
غير سعودي,2011,الباحة,أنثى,16521
غير سعودي,2012,الباحة,أنثى,16752
غير سعودي,2013,الباحة,أنثى,17508
غير سعودي,2014,الباحة,أنثى,17682
غير سعودي,2015,الباحة,أنثى,18064
غير سعودي,2016,الباحة,أنثى,18333
غير سعودي,2017,الباحة,أنثى,18323
غير سعودي,2018,الباحة,أنثى,16951
غير سعودي,2019,الباحة,أنثى,16230
غير سعودي,2020,الباحة,أنثى,17817
غير سعودي,2021,الباحة,أنثى,16257
غير سعودي,2022,الباحة,أنثى,16511
غير سعودي,2010,الجوف,أنثى,21919
غير سعودي,2011,الجوف,أنثى,22938
غير سعودي,2012,الجوف,أنثى,23877
غير سعودي,2013,الجوف,أنثى,25616
غير سعودي,2014,الجوف,أنثى,26546
غير سعودي,2015,الجوف,أنثى,27810
غير سعودي,2016,الجوف,أنثى,28944
غير سعودي,2017,الجوف,أنثى,29670
غير سعودي,2018,الجوف,أنثى,28140
غير سعودي,2019,الجوف,أنثى,27622
غير سعودي,2020,الجوف,أنثى,31070
غير سعودي,2021,الجوف,أنثى,29056
غير سعودي,2022,الجوف,أنثى,30230
غير سعودي,2010,الحدود الشمالية,أنثى,14304
غير سعودي,2011,الحدود الشمالية,أنثى,15287
غير سعودي,2012,الحدود الشمالية,أنثى,16230
غير سعودي,2013,الحدود الشمالية,أنثى,17746
غير سعودي,2014,الحدود الشمالية,أنثى,18721
غير سعودي,2015,الحدود الشمالية,أنثى,19954
غير سعودي,2016,الحدود الشمالية,أنثى,21111
غير سعودي,2017,الحدود الشمالية,أنثى,21979
غير سعودي,2018,الحدود الشمالية,أنثى,21155
غير سعودي,2019,الحدود الشمالية,أنثى,21056
غير سعودي,2020,الحدود الشمالية,أنثى,24006
غير سعودي,2021,الحدود الشمالية,أنثى,22741
غير سعودي,2022,الحدود الشمالية,أنثى,23954
غير سعودي,2010,الرياض,أنثى,796782
غير سعودي,2011,الرياض,أنثى,827255
غير سعودي,2012,الرياض,أنثى,854406
غير سعودي,2013,الرياض,أنثى,909928
غير سعودي,2014,الرياض,أنثى,936085
غير سعودي,2015,الرياض,أنثى,973777
غير سعودي,2016,الرياض,أنثى,1006495
غير سعودي,2017,الرياض,أنثى,1024901
غير سعودي,2018,الرياض,أنثى,965668
غير سعودي,2019,الرياض,أنثى,941810
غير سعودي,2020,الرياض,أنثى,1052826
غير سعودي,2021,الرياض,أنثى,978731
غير سعودي,2022,الرياض,أنثى,1012243
غير سعودي,2010,القصيم,أنثى,71249
غير سعودي,2011,القصيم,أنثى,73064
غير سعودي,2012,القصيم,أنثى,74544
غير سعودي,2013,القصيم,أنثى,78423
غير سعودي,2014,القصيم,أنثى,79708
غير سعودي,2015,القصيم,أنثى,81928
غير سعودي,2016,القصيم,أنثى,83675
غير سعودي,2017,القصيم,أنثى,84205
غير سعودي,2018,القصيم,أنثى,78408
غير سعودي,2019,القصيم,أنثى,75593
غير سعودي,2020,القصيم,أنثى,83533
غير سعودي,2021,القصيم,أنثى,76769
غير سعودي,2022,القصيم,أنثى,78494
غير سعودي,2010,المدينة المنورة,أنثى,183087
غير سعودي,2011,المدينة المنورة,أنثى,186145
غير سعودي,2012,المدينة المنورة,أنثى,188259
غير سعودي,2013,المدينة المنورة,أنثى,196321
غير سعودي,2014,المدينة المنورة,أنثى,197755
غير سعودي,2015,المدينة المنورة,أنثى,201428
غير سعودي,2016,المدينة المنورة,أنثى,203853
غير سعودي,2017,المدينة المنورة,أنثى,203242
غير سعودي,2018,المدينة المنورة,أنثى,187483
غير سعودي,2019,المدينة المنورة,أنثى,179006
غير سعودي,2020,المدينة المنورة,أنثى,195897
غير سعودي,2021,المدينة المنورة,أنثى,178266
غير سعودي,2022,المدينة المنورة,أنثى,180469
غير سعودي,2010,المنطقة الشرقية,أنثى,324272
غير سعودي,2011,المنطقة الشرقية,أنثى,336571
غير سعودي,2012,المنطقة الشرقية,أنثى,347508
غير سعودي,2013,المنطقة الشرقية,أنثى,369982
غير سعودي,2014,المنطقة الشرقية,أنثى,380508
غير سعودي,2015,المنطقة الشرقية,أنثى,395711
غير سعودي,2016,المنطقة الشرقية,أنثى,408900
غير سعودي,2017,المنطقة الشرقية,أنثى,416253
غير سعودي,2018,المنطقة الشرقية,أنثى,392095
غير سعودي,2019,المنطقة الشرقية,أنثى,382301
غير سعودي,2020,المنطقة الشرقية,أنثى,427263
غير سعودي,2021,المنطقة الشرقية,أنثى,397085
غير سعودي,2022,المنطقة الشرقية,أنثى,410580
غير سعودي,2010,تبوك,أنثى,34667
غير سعودي,2011,تبوك,أنثى,35867
غير سعودي,2012,تبوك,أنثى,36931
غير سعودي,2013,تبوك,أنثى,39200
غير سعودي,2014,تبوك,أنثى,40199
غير سعودي,2015,تبوك,أنثى,41697
غير سعودي,2016,تبوك,أنثى,42964
غير سعودي,2017,تبوك,أنثى,43610
غير سعودي,2018,تبوك,أنثى,40972
غير سعودي,2019,تبوك,أنثى,39840
غير سعودي,2020,تبوك,أنثى,44416
غير سعودي,2021,تبوك,أنثى,41163
غير سعودي,2022,تبوك,أنثى,42458
غير سعودي,2010,جازان,أنثى,92868
غير سعودي,2011,جازان,أنثى,95100
غير سعودي,2012,جازان,أنثى,96882
غير سعودي,2013,جازان,أنثى,101783
غير سعودي,2014,جازان,أنثى,103302
غير سعودي,2015,جازان,أنثى,106027
غير سعودي,2016,جازان,أنثى,108131
غير سعودي,2017,جازان,أنثى,108659
غير سعودي,2018,جازان,أنثى,101035
غير سعودي,2019,جازان,أنثى,97252
غير سعودي,2020,جازان,أنثى,107309
غير سعودي,2021,جازان,أنثى,98468
غير سعودي,2022,جازان,أنثى,100532
غير سعودي,2010,حائل,أنثى,29089
غير سعودي,2011,حائل,أنثى,30448
غير سعودي,2012,حائل,أنثى,31707
غير سعودي,2013,حائل,أنثى,34022
غير سعودي,2014,حائل,أنثى,35266
غير سعودي,2015,حائل,أنثى,36952
غير سعودي,2016,حائل,أنثى,38463
غير سعودي,2017,حائل,أنثى,39437
غير سعودي,2018,حائل,أنثى,37410
غير سعودي,2019,حائل,أنثى,36734
غير سعودي,2020,حائل,أنثى,41320
غير سعودي,2021,حائل,أنثى,38660
غير سعودي,2022,حائل,أنثى,40222
غير سعودي,2010,عسير,أنثى,83691
غير سعودي,2011,عسير,أنثى,86040
غير سعودي,2012,عسير,أنثى,87999
غير سعودي,2013,عسير,أنثى,92810
غير سعودي,2014,عسير,أنثى,94571
غير سعودي,2015,عسير,أنثى,97456
غير سعودي,2016,عسير,أنثى,99789
غير سعودي,2017,عسير,أنثى,100683
غير سعودي,2018,عسير,أنثى,93991
غير سعودي,2019,عسير,أنثى,90837
غير سعودي,2020,عسير,أنثى,100638
غير سعودي,2021,عسير,أنثى,92727
غير سعودي,2022,عسير,أنثى,95054
غير سعودي,2010,مكة المكرمة,أنثى,1076909
غير سعودي,2011,مكة المكرمة,أنثى,1094964
غير سعودي,2012,مكة المكرمة,أنثى,1107492
غير سعودي,2013,مكة المكرمة,أنثى,1155014
غير سعودي,2014,مكة المكرمة,أنثى,1163579
غير سعودي,2015,مكة المكرمة,أنثى,1185309
غير سعودي,2016,مكة المكرمة,أنثى,1199669
غير سعودي,2017,مكة المكرمة,أنثى,1196162
غير سعودي,2018,مكة المكرمة,أنثى,1103527
غير سعودي,2019,مكة المكرمة,أنثى,1053771
غير سعودي,2020,مكة المكرمة,أنثى,1153302
غير سعودي,2021,مكة المكرمة,أنثى,1049612
غير سعودي,2022,مكة المكرمة,أنثى,1062692
غير سعودي,2010,نجران,أنثى,31040
غير سعودي,2011,نجران,أنثى,32654
غير سعودي,2012,نجران,أنثى,34155
غير سعودي,2013,نجران,أنثى,36829
غير سعودي,2014,نجران,أنثى,38338
غير سعودي,2015,نجران,أنثى,40343
غير سعودي,2016,نجران,أنثى,42172
غير سعودي,2017,نجران,أنثى,43408
